,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
63,동인동4가,4.033639143730887,1.0458715596330275,0.172782874617737,3.217125382262997,2.853211009174312,4.995412844036697,1.371559633027523,2.015290519877676
64,동일동,4.0,1.3,0.35,5.4,1.8,5.0,1.0,1.65
65,동천동,2.8929618768328447,1.3592375366568914,0.3152492668621701,2.8944281524926687,0.6275659824046921,4.939882697947214,1.0909090909090908,3.089442815249267
66,동호동,3.26375,1.1,0.115,3.72375,1.855,5.0,2.00125,3.39125
67,두류동,3.933697347893916,1.0585023400936038,0.21372854914196568,2.735049401976079,2.765470618824753,4.978159126365054,1.1006240249609984,2.593083723348934
68,두산동,3.092129347162904,1.0787065283709578,0.18730933496034166,3.132397803538743,2.071384990848078,4.9646125686394145,1.109823062843197,2.4966442953020134
69,둔산동,3.1909307875894988,1.0,0.011933174224343675,3.412887828162291,3.0787589498806684,5.0,2.0954653937947496,4.477326968973747
70,만촌동,3.7805499908941904,1.0834092150792205,0.33181569841558917,2.648333636860317,2.7255509014751413,4.956292114368967,1.1058095064651248,2.6029867055181204
71,매여동,3.3194444444444446,1.0,0.013888888888888888,3.25,3.125,5.0,2.236111111111111,3.888888888888889
72,매천동,2.804185351270553,1.1838565022421526,0.18086696562032886,3.765321375186846,1.7533632286995515,4.874439461883408,1.3632286995515694,3.164424514200299
73,매호동,3.4574074074074073,1.2574074074074073,0.20925925925925926,2.801851851851852,2.0925925925925926,4.92037037037037,1.1796296296296296,3.085185185185185
74,문화동,4.5,1.1891891891891893,0.4594594594594595,4.986486486486487,2.1216216216216215,4.95945945945946,1.0,2.0135135135135136
75,미곡동,3.418300653594771,1.0,0.032679738562091505,2.816993464052288,3.130718954248366,5.0,1.9411764705882353,3.9411764705882355
76,미대동,3.618834080717489,0.9955156950672646,0.02242152466367713,3.695067264573991,3.403587443946188,5.0,2.0269058295964126,3.8430493273542603
77,방촌동,3.830430496220835,1.080841275057509,0.14689451199474204,2.6736772921459084,2.7798225435425565,4.992770292474532,1.948077555044364,3.0946434439697668
78,백안동,3.424019607843137,0.9975490196078431,0.04656862745098039,3.424019607843137,2.985294117647059,5.0,1.321078431372549,4.299019607843137
79,범물동,3.5053507728894173,1.281807372175981,0.3436385255648038,2.73602853745541,1.8715814506539834,4.925089179548157,1.5826397146254458,2.821640903686088
80,범어동,3.6327193932827737,1.180715059588299,0.39458288190682556,2.9176598049837486,2.2114842903575296,4.928494041170097,1.6348862405200433,2.582665222101842
81,복현동,3.145219638242894,1.2170542635658914,0.2744186046511628,2.950904392764858,1.2387596899224806,4.913695090439276,1.7416020671834624,2.7074935400516797
82,본동,3.36013986013986,1.134032634032634,0.3181818181818182,3.2505827505827507,1.7424242424242424,4.9906759906759905,1.0,2.687645687645688
83,본리동,3.08812729498164,1.255813953488372,0.32802937576499386,3.3782129742962055,0.9388004895960832,4.877600979192167,1.197062423500612,3.0820073439412483
84,봉덕동,3.963397652675552,1.0702208076387507,0.2092699423115178,2.7992838671175653,2.61328824348518,4.975333200716133,1.3218619454943306,2.3831310921026456
