Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89406,대구광역시 달성군 논공읍 남리 656-19번지,1,0,4.5,벽돌구조,시멘트벽돌조,단독주택,0,1995,35.7241577577174,128.449705904195
89407,대구광역시 달성군 논공읍 남리 656-19번지,1,0,0.0,블록구조,시멘트블록구조,제1종근린생활시설,0,1995,35.7241577577174,128.449705904195
89408,대구광역시 달성군 논공읍 남리 656-22번지,4,1,14.6,철근콘크리트구조,철근콘크리트,제2종근린생활시설,0,1997,35.7241028742288,128.450109834201
89409,대구광역시 달성군 논공읍 남리 656-23번지,2,0,8.1,벽돌구조,시멘트벽돌조,단독주택,0,1996,35.7241227071532,128.450355977642
89410,대구광역시 달성군 논공읍 남리 656-24번지,1,0,0.0,벽돌구조,벽돌,단독주택,0,1950,35.7242362274283,128.450440590019
89411,대구광역시 달성군 논공읍 남리 656-32번지,1,0,4.2,벽돌구조,벽돌구조,단독주택,0,2002,35.7241470799778,128.450606734604
89412,대구광역시 달성군 논공읍 남리 656-32번지,1,0,3.2,일반목구조,목조,단독주택,0,1978,35.7241470799778,128.450606734604
89413,대구광역시 달성군 논공읍 남리 656-43번지,1,0,3.6,경량철골구조,경량철골구조,제1종근린생활시설,0,2016,35.7241941442883,128.449520678214
89414,대구광역시 달성군 논공읍 남리 657번지,1,0,3.65,경량철골구조,경량철골구조,제1종근린생활시설,0,2013,35.7241191224733,128.450892459842
89415,대구광역시 달성군 논공읍 남리 657번지,1,0,0.0,경량철골구조,경량철골조,단독주택,0,1950,35.7241191224733,128.450892459842
89416,대구광역시 달성군 논공읍 남리 658번지,1,0,4.7,벽돌구조,시멘벽돌,단독주택,0,1993,35.7241160816073,128.451181952272
89417,대구광역시 달성군 논공읍 남리 659번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,35.7242317366649,128.451179187562
89418,대구광역시 달성군 논공읍 남리 660번지,1,0,0.0,목구조,목조,단독주택,0,1950,35.7243525772253,128.45103041652
89419,대구광역시 달성군 논공읍 남리 661번지,1,0,5.0,벽돌구조,시멘트벽돌,단독주택,0,1991,35.7245892479081,128.451200592224
89420,대구광역시 달성군 논공읍 남리 663번지,2,0,7.3,일반철골구조,일반철골구조,제2종근린생활시설,0,2016,35.724700803274,128.450932516818
89421,대구광역시 달성군 논공읍 남리 664번지,1,0,3.9,벽돌구조,벽돌구조,단독주택,0,2004,35.7248832488076,128.450936157347
