Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
66040,대구광역시 달서구 상인동 95번지,1,1,3.3,철근콘크리트구조,철근콘크리트구조,공동주택,0,2009,35.8199008200515,128.53349614862
66041,대구광역시 달서구 상인동 95번지,1,0,3.25,철근콘크리트구조,철근콘크리트구조,공동주택,0,2009,35.8199008200515,128.53349614862
66042,대구광역시 달서구 상인동 95번지,25,0,75.7,철근콘크리트구조,철근콘크리트구조,공동주택,2,2009,35.8199008200515,128.53349614862
66043,대구광역시 달서구 상인동 95번지,1,0,3.25,철근콘크리트구조,철근콘크리트구조,공동주택,0,2009,35.8199008200515,128.53349614862
66044,대구광역시 달서구 상인동 112-3번지,5,0,20.8,일반철골구조,일반철골구조,교육연구시설,0,2010,35.8210557197891,128.532777581761
66045,대구광역시 달서구 상인동 113번지,28,0,77.9,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8218197735604,128.533204439036
66046,대구광역시 달서구 상인동 113번지,25,0,69.5,철근콘크리트구조,철근콘크리트구조,공동주택,2,2008,35.8218197735604,128.533204439036
66047,대구광역시 달서구 상인동 113번지,1,0,3.67,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8218197735604,128.533204439036
66048,대구광역시 달서구 상인동 113번지,25,0,69.5,철근콘크리트구조,철근콘크리트구조,공동주택,1,2008,35.8218197735604,128.533204439036
66049,대구광역시 달서구 상인동 113번지,1,0,4.5,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8218197735604,128.533204439036
66050,대구광역시 달서구 상인동 113번지,2,1,9.4,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2008,35.8218197735604,128.533204439036
66051,대구광역시 달서구 상인동 113번지,1,0,4.5,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8218197735604,128.533204439036
66052,대구광역시 달서구 상인동 113번지,28,0,77.9,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8218197735604,128.533204439036
66053,대구광역시 달서구 상인동 113번지,0,1,0.0,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8218197735604,128.533204439036
66054,대구광역시 달서구 상인동 123-1번지,5,1,19.65,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,2006,35.8215415692302,128.531933827675
66055,대구광역시 달서구 상인동 127-2번지,1,0,5.8,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1994,35.820869833217,128.532097400402
66056,대구광역시 달서구 상인동 128-3번지,4,1,14.95,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2007,35.8207149189774,128.532069527427
66057,대구광역시 달서구 상인동 128-4번지,3,0,9.1,일반철골구조,일반철골구조,제2종근린생활시설,0,2009,35.8204775857783,128.532222526754
66058,대구광역시 달서구 상인동 129-6번지,1,0,13.03,일반철골구조,일반철골구조,제1종근린생활시설,0,2009,35.8203790565605,128.532352302157
66059,대구광역시 달서구 상인동 129-6번지,8,0,30.0,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,2009,35.8203790565605,128.532352302157
66060,대구광역시 달서구 상인동 129-8번지,7,0,27.75,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,2009,35.820908291867,128.532445350364
66061,대구광역시 달서구 상인동 129-8번지,2,0,6.6,일반철골구조,일반철골구조,제1종근린생활시설,0,2009,35.820908291867,128.532445350364
66062,대구광역시 달서구 상인동 133번지,1,0,3.89,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66063,대구광역시 달서구 상인동 133번지,26,2,72.8,철근콘크리트구조,철근콘크리트구조,공동주택,2,2007,35.8211088414836,128.530412518134
66064,대구광역시 달서구 상인동 133번지,25,2,69.95,철근콘크리트구조,철근콘크리트구조,공동주택,1,2007,35.8211088414836,128.530412518134
66065,대구광역시 달서구 상인동 133번지,30,2,84.2,철근콘크리트구조,철근콘크리트구조,공동주택,2,2007,35.8211088414836,128.530412518134
66066,대구광역시 달서구 상인동 133번지,2,1,11.05,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66067,대구광역시 달서구 상인동 133번지,1,1,0.0,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66068,대구광역시 달서구 상인동 133번지,27,2,75.65,철근콘크리트구조,철근콘크리트구조,공동주택,1,2007,35.8211088414836,128.530412518134
66069,대구광역시 달서구 상인동 133번지,24,2,67.1,철근콘크리트구조,철근콘크리트구조,공동주택,2,2007,35.8211088414836,128.530412518134
66070,대구광역시 달서구 상인동 133번지,1,2,0.0,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66071,대구광역시 달서구 상인동 133번지,1,0,3.89,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66072,대구광역시 달서구 상인동 133번지,1,2,3.72,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8211088414836,128.530412518134
66073,대구광역시 달서구 상인동 133번지,24,2,67.1,철근콘크리트구조,철근콘크리트구조,공동주택,3,2007,35.8211088414836,128.530412518134
66074,대구광역시 달서구 상인동 133번지,30,2,84.2,철근콘크리트구조,철근콘크리트구조,공동주택,3,2007,35.8211088414836,128.530412518134
66075,대구광역시 달서구 상인동 134번지,7,1,23.75,철근콘크리트구조,철근콘크리트,교육연구시설,0,2007,35.8198505863499,128.530827403971
66076,대구광역시 달서구 상인동 134-5번지,1,0,4.8,경량철골구조,경량철골구조,제1종근린생활시설,0,2010,35.8198076411258,128.53026527385
66077,대구광역시 달서구 상인동 134-7번지,1,0,5.2,경량철골구조,경량철골구조,제1종근린생활시설,0,2010,35.8197455485804,128.53038579205
66078,대구광역시 달서구 상인동 136-3번지,6,0,27.0,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2006,35.8193290962282,128.530720464794
66079,대구광역시 달서구 상인동 136-4번지,1,0,5.75,경량철골구조,경량철골구조,제1종근린생활시설,0,2008,35.8195002056781,128.530580575439
66080,대구광역시 달서구 상인동 136-9번지,1,0,3.6,기타구조,조립식구조,제1종근린생활시설,0,2008,35.8196186496918,128.530818634894
66081,대구광역시 달서구 상인동 150-11번지,2,0,8.55,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2007,35.8194800660029,128.532026764013
66082,대구광역시 달서구 상인동 150-11번지,1,0,3.02,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66083,대구광역시 달서구 상인동 150-11번지,1,0,3.55,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66084,대구광역시 달서구 상인동 150-11번지,28,0,77.15,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,2,2007,35.8194800660029,128.532026764013
66085,대구광역시 달서구 상인동 150-11번지,1,2,4.65,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66086,대구광역시 달서구 상인동 150-11번지,1,1,0.0,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66087,대구광역시 달서구 상인동 150-11번지,2,0,8.1,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2007,35.8194800660029,128.532026764013
66088,대구광역시 달서구 상인동 150-11번지,28,0,77.15,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,2,2007,35.8194800660029,128.532026764013
66089,대구광역시 달서구 상인동 150-11번지,26,0,71.55,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,3,2007,35.8194800660029,128.532026764013
66090,대구광역시 달서구 상인동 150-11번지,20,0,54.75,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,1,2007,35.8194800660029,128.532026764013
66091,대구광역시 달서구 상인동 150-11번지,1,0,3.55,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66092,대구광역시 달서구 상인동 150-11번지,1,2,4.65,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66093,대구광역시 달서구 상인동 150-11번지,24,0,65.95,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,1,2007,35.8194800660029,128.532026764013
66094,대구광역시 달서구 상인동 150-11번지,1,2,4.65,철근콘크리트구조,철근콘크리트구조,공동주택,0,2007,35.8194800660029,128.532026764013
66095,대구광역시 달서구 상인동 150-11번지,24,0,65.95,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,2,2007,35.8194800660029,128.532026764013
66096,대구광역시 달서구 상인동 150-11번지,25,0,68.75,철근콘크리트구조,철근콘크리트 벽식구조,공동주택,3,2007,35.8194800660029,128.532026764013
66097,대구광역시 달서구 상인동 152-2번지,5,0,18.3,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2007,35.8206155494652,128.531756257624
66098,대구광역시 달서구 상인동 152-16번지,6,0,21.3,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2007,35.8205414439404,128.531567730153
