Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
246118,대구광역시 수성구 수성동1가 536-4번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1974.0,35.8493000370686,128.610900739184
246119,대구광역시 수성구 수성동1가 536-5번지,4,1,12.8,철근콘크리트구조,R.C조,공동주택,0,1994.0,35.8497551285911,128.610718237819
246120,대구광역시 수성구 수성동1가 536-6번지,4,1,12.9,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8496573378771,128.610793407699
246121,대구광역시 수성구 수성동1가 536-7번지,4,1,13.1,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8496246956805,128.610983126881
246122,대구광역시 수성구 수성동1가 536-9번지,4,1,12.8,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8494534152304,128.611007997136
246123,대구광역시 수성구 수성동1가 536-10번지,4,1,12.9,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8497318957066,128.610932055778
246124,대구광역시 수성구 수성동1가 537-1번지,3,1,10.3,벽돌구조,시멘트벽돌조,단독주택,0,1989.0,35.8493319812643,128.610601760169
246125,대구광역시 수성구 수성동1가 537-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1955.0,35.8493454809486,128.610461905534
246126,대구광역시 수성구 수성동1가 537-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1985.0,35.8493454809486,128.610461905534
246127,대구광역시 수성구 수성동1가 537-3번지,2,0,7.5,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1987.0,35.8492735143166,128.610452591379
246128,대구광역시 수성구 수성동1가 538-1번지,1,0,0.0,벽돌구조,세멘벽돌조,단독주택,0,1973.0,35.8494345718437,128.610887743515
246129,대구광역시 수성구 수성동1가 538-2번지,3,0,10.6,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8494917756866,128.610774894615
246130,대구광역시 수성구 수성동1가 538-3번지,1,0,0.0,벽돌구조,시멘벽돌조,단독주택,0,1973.0,35.8494182949483,128.610770973115
246131,대구광역시 수성구 수성동1가 538-4번지,3,0,10.4,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8494745775735,128.610626006708
246132,대구광역시 수성구 수성동1가 538-5번지,4,0,13.6,철근콘크리트구조,철근콘크리트조,공동주택,0,1996.0,35.8494539276712,128.610479152074
246133,대구광역시 수성구 수성동1가 540-4번지,3,1,0.0,벽돌구조,"철근콘크리트조, 벽돌조",단독주택,0,1991.0,35.8495906691422,128.611443997866
246134,대구광역시 수성구 수성동1가 540-5번지,2,0,0.0,벽돌구조,시멘벽돌조,단독주택,0,1972.0,35.8495844683002,128.611368827478
246135,대구광역시 수성구 수성동1가 540-6번지,4,0,11.9,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8495680491085,128.611289576331
246136,대구광역시 수성구 수성동1가 540-7번지,3,0,10.6,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8494638593189,128.611311044046
246137,대구광역시 수성구 수성동1가 540-8번지,4,0,13.3,철근콘크리트구조,철근콘크리트조,공동주택,0,1995.0,35.8495557032027,128.611208968722
246138,대구광역시 수성구 수성동1가 541-3번지,1,0,4.5,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,2000.0,35.8499241806979,128.611336629831
246139,대구광역시 수성구 수성동1가 541-4번지,4,0,13.2,철근콘크리트구조,철근콘크리트,공동주택,0,1996.0,35.8499472478302,128.611162101737
246140,대구광역시 수성구 수성동1가 541-5번지,1,0,0.0,블록구조,블록조,제1종근린생활시설,0,1980.0,35.8499920995998,128.611090067018
246141,대구광역시 수성구 수성동1가 541-6번지,4,0,0.0,철근콘크리트구조,R.C,공동주택,0,1995.0,35.8499496637763,128.610981953476
246142,대구광역시 수성구 수성동1가 541-8번지,3,0,10.0,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8498755063834,128.61102849092
246143,대구광역시 수성구 수성동1가 542-1번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1973.0,35.8499311646842,128.611272794549
246144,대구광역시 수성구 수성동1가 542-2번지,3,0,8.7,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",단독주택,0,1995.0,35.8497332010962,128.611345383356
246145,대구광역시 수성구 수성동1가 542-3번지,3,0,9.9,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8496761403254,128.6111855052
246146,대구광역시 수성구 수성동1가 542-4번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1974.0,35.8498083178325,128.6112877971
246147,대구광역시 수성구 수성동1가 542-5번지,4,0,13.2,철근콘크리트구조,R.C,공동주택,0,1995.0,35.8497764255934,128.611112489297
246148,대구광역시 수성구 수성동1가 542-15번지,1,0,0.0,벽돌구조,시멘벽돌조,단독주택,0,1973.0,,
246149,대구광역시 수성구 수성동1가 543번지,4,1,12.9,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8498928181208,128.610846319746
246150,대구광역시 수성구 수성동1가 544-1번지,4,0,13.2,철근콘크리트구조,철근콘크리트조,공동주택,0,1996.0,35.8496881514501,128.610403974089
246151,대구광역시 수성구 수성동1가 544-2번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,35.8495996794694,128.610389013214
246152,대구광역시 수성구 수성동1가 544-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,35.8495012171875,128.610359682578
246153,대구광역시 수성구 수성동1가 544-5번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,35.8493366028754,128.61034439949
246154,대구광역시 수성구 수성동1가 545-1번지,3,0,10.4,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8501842657498,128.610374492642
246155,대구광역시 수성구 수성동1가 545-2번지,2,0,7.2,벽돌구조,시멘트 벽돌조,단독주택,0,1989.0,35.8501536857288,128.610517988011
246156,대구광역시 수성구 수성동1가 545-3번지,4,0,13.4,철근콘크리트구조,철근콘크리트조,공동주택,0,1995.0,35.8500762158756,128.610415032372
246157,대구광역시 수성구 수성동1가 545-5번지,1,0,7.55,철근콘크리트구조,철근콘크리트구조,단독주택,0,2003.0,35.8499538323123,128.610388759676
246158,대구광역시 수성구 수성동1가 545-6번지,1,0,0.0,일반목구조,목조,단독주택,0,1971.0,35.8499264174268,128.610504536412
